Exercise_ID	AlignerForm	Original
0172	viljið þið mjólk og sykur	Viljið þið mjólk og sykur?
0173	viljiði elda kjúkling í kvöld	Viljiði elda kjúkling í kvöld?
0174	viljiði koma með mér	Viljiði koma með mér?
0175	viljiði koma með í ísbíltúr	Viljiði koma með í ísbíltúr?
0176	viltu að ég hjálpi honum	Viltu að ég hjálpi honum?
0177	viltu að ég hjálpi þér	Viltu að ég hjálpi þér?
0178	viltu fara í bíó	Viltu fara í bíó?
0179	viltu hjálpa mér	Viltu hjálpa mér?
0180	viltu mjólk í kaffið	Viltu mjólk í kaffið?
0181	viltu poka	Viltu poka?
0182	viltu sýrðan rjóma með tertunni	Viltu sýrðan rjóma með tertunni?
0183	við erum á lækjargötu	Við erum á Lækjargötu.
0184	við förum úr skónum	Við förum úr skónum.
0185	við keyptum nýjan bíl í september	Við keyptum nýjan bíl í september.
0186	við keyptum okkur ferð til egyptalands	Við keyptum okkur ferð til Egyptalands.
0187	við keyrum fimmtán kílómetra	Við keyrum fimmtán kílómetra.
0188	við sendum bréf til englands hvert sendið þið bréf	Við sendum bréf til Englands. Hvert sendið þið bréf?
0189	við spjölluðum lengi í gærkvöldi	Við spjölluðum lengi í gærkvöldi.
0190	við tefldum í fjóra klukkutíma	Við tefldum í fjóra klukkutíma!
0191	við ætlum að fara í nauthólsvík	Við ætlum að fara í Nauthólsvík.
0192	við ætlum að fá tvo latte og eina kökusneið	Við ætlum að fá tvo latte og eina kökusneið.
0193	við ætlum að gera verkefni í hafnarfirði	Við ætlum að gera verkefni í Hafnarfirði.
0194	við ætlum til svartfjallalands næsta sumar	Við ætlum til Svartfjallalands næsta sumar.
0195	á degi íslenskrar tungu eru margir viðburðir	Á degi íslenskrar tungu eru margir viðburðir.
0196	áhugi boga liggur í tónlist	Áhugi Boga liggur í tónlist.
0197	ákveðinn greinir í fleirtölu	Ákveðinn greinir í fleirtölu.
0198	ása er frá akureyri	Ása er frá Akureyri.
0199	æi hættu þessu bara	Æi, hættu þessu bara.
0200	ætlarðu í bankann	Ætlarðu í bankann?
0201	ég bara skil ekki hvað er í gangi	Ég bara skil ekki hvað er í gangi.
0202	ég borða ekki kjöt	Ég borða ekki kjöt.
0203	ég borða köku með rjóma	Ég borða köku með rjóma.
0204	ég er að fara til mömmu	Ég er að fara til mömmu.
0205	ég er frá þýskalandi	Ég er frá Þýskalandi.
0206	ég er glaður þeir eru glaðir þær eru glaðar	Ég er glaður, þeir eru glaðir, þær eru glaðar.
0207	ég fer til parísar í næstu viku	Ég fer til Parísar í næstu viku.
0208	ég fer í fyrramálið	Ég fer í fyrramálið.
0209	ég fer í heita pottinn ferð þú í kalda pottinn	Ég fer í heita pottinn. Ferð þú í kalda pottinn?
0210	ég fer úr peysunni	Ég fer úr peysunni.
0211	ég fylgdi honum heim	Ég fylgdi honum heim.
0212	ég hef ekki sagt það	Ég hef ekki sagt það!
0213	ég hef farið upp esjuna mörgum sinnum	Ég hef farið upp Esjuna mörgum sinnum.
0214	ég hef farið upp í hann tvisvar sinnum	Ég hef farið upp í hann tvisvar sinnum.
0215	ég heyri ekki í ykkur	Ég heyri ekki í ykkur.
0216	ég hlustaði á þá	Ég hlustaði á þá.
0217	ég horfði á hann	Ég horfði á hann.
0218	ég horfði á þrjár myndir	Ég horfði á þrjár myndir.
0219	ég keypti nýjan hvítan flygil	Ég keypti nýjan hvítan flygil.
0220	ég keypti nýjan snjallsíma í gær	Ég keypti nýjan snjallsíma í gær.
0221	ég nefndi það við hana um daginn	Ég nefndi það við hana um daginn.
0222	ég sit á kaffihúsi	Ég sit á kaffihúsi.
0223	ég skil þetta ekki alveg	Ég skil þetta ekki alveg.
0224	ég slökkti á lampanum	Ég slökkti á lampanum.
0225	ég sé þig ekki	Ég sé þig ekki.
0226	ég tala dönsku og frönsku	Ég tala dönsku og frönsku.
0227	ég var hjá henni í marga daga	Ég var hjá henni í marga daga.
0228	ég var lengi á leiðinni heim	Ég var lengi á leiðinni heim.
0229	ég verð að fara núna	Ég verð að fara núna!
0230	ég vökvaði blómin á akranesi	Ég vökvaði blómin á Akranesi.
0231	ég ætla að fara heim	Ég ætla að fara heim.
0232	ég ætla að fara þangað á morgun	Ég ætla að fara þangað á morgun.
0233	ég ætla að fara þangað á morgun með henni höllu	Ég ætla að fara þangað á morgun með henni Höllu.
0234	ég ætla að fá tvo latte með haframjólk	Ég ætla að fá tvo latte með haframjólk.
0235	ég ætla að fá tvo miða	Ég ætla að fá tvo miða.
0236	ég ætla að vera í skotlandi í marga daga jafnvel í margar vikur	Ég ætla að vera í Skotlandi í marga daga, jafnvel í margar vikur.
0237	í dag er mjög kalt úti	Í dag er mjög kalt úti.
0238	í gær lærði ég nýtt lýsingarorð	Í gær lærði ég nýtt lýsingarorð.
0239	í reykjavík eru bæði falleg og ljót hús	Í Reykjavík eru bæði falleg og ljót hús.
0240	þar eru margar búðir	Þar eru margar búðir.
0241	þau fóru á nýjan grænmetisveitingastað	Þau fóru á nýjan grænmetisveitingastað.
0242	þau hafa byggt stórt hús	Þau hafa byggt stórt hús.
0243	þau hrjóta svo hátt að það heyrist gegnum tvennar dyr	Þau hrjóta svo hátt að það heyrist gegnum tvennar dyr!
0244	það er ekkert á milli þeirra	Það er ekkert á milli þeirra.
0245	það er falleg leið sem heitir laugavegur	Það er falleg leið sem heitir Laugavegur.
0246	það er hægt að ganga yfir fimmvörðuháls	Það er hægt að ganga yfir Fimmvörðuháls.
0247	það er langt í bankann	Það er langt í bankann!
0248	það er ljómandi gott	Það er ljómandi gott!
0249	það er partí hjá hrafnhildi um helgina	Það er partí hjá Hrafnhildi um helgina.
0250	það er íslenskt fyrirtæki	Það er íslenskt fyrirtæki.
0251	það eru oftast fimm fingur á einni hendi	Það eru oftast fimm fingur á einni hendi.
0252	það eru sjö sjoppur í þorpinu	Það eru sjö sjoppur í þorpinu!
0253	það skiptir engu máli	Það skiptir engu máli!
0254	það vantar einn stól og eitt borð	Það vantar einn stól og eitt borð.
0255	það var mikið mannlíf í borginni	Það var mikið mannlíf í borginni.
0256	það verða umbreytingar í veðrinu	Það verða umbreytingar í veðrinu.
0257	það vissi ég alls ekki	Það vissi ég alls ekki.
0258	það væri betra ef íbúðin væri stærri	Það væri betra ef íbúðin væri stærri.
0259	þeir eru svartir	Þeir eru svartir.
0260	þeir fóru til edinborgar	Þeir fóru til Edinborgar.
0261	þessi orðræða er orðin þreytt	Þessi orðræða er orðin þreytt!
0262	þessir fossar eru allir mjög fallegir	Þessir fossar eru allir mjög fallegir.
0263	þetta er gömul stytta styttan er í reykjavík	Þetta er gömul stytta. Styttan er í Reykjavík.
0264	þetta er spennandi saga	Þetta er spennandi saga.
0265	þetta er taskan mín er þetta taskan þín	Þetta er taskan mín. Er þetta taskan þín?
0266	þetta hús er hvítt ég bý í hvítu húsi	Þetta hús er hvítt. Ég bý í hvítu húsi.
0267	þorpið er ekki svo stórt	Þorpið er ekki svo stórt.
0268	þátíð veikra og sterkra sagna	Þátíð veikra og sterkra sagna.
0269	þær bjuggu í parís í mörg ár	Þær bjuggu í París í mörg ár.
0270	þú fórst frá mér	Þú fórst frá mér.
0271	þú verður að fara í svörtu úlpuna	Þú verður að fara í svörtu úlpuna.
